run_id,parent_run_id,timestamp_utc,git_commit,dirty,config_sha256,molecule_id,exposure_tier,outer_split,action,stage,status,fidelity,lambda,beads,requested_steps,completed_steps,seed,device,wall_seconds,wall_hours,gpu_hours,cpu_hours,simulated_time_ps,force_evaluations,bead_windows,qc_status,quality_control,failure_reason,input_sha256,output_sha256,freeze_commit,command
AS-P1-SUMMARY-001D,,2026-09-03T02:23:07+00:00,,,,,,,,phase1,failed,,,,,,,CPU,20.0,,0.0,0.01,0.0,0.0,0.0,,failed after canonical JSON and figures; rerun required,Reproduced missing optional tabulate dependency while capturing the traceback; no scientific output changed.,,,a0dd986,active_solvai/.venv/bin/python active_solvai/scripts/summarize_phase1.py
AS-P1-SUMMARY-001,,2026-09-03T02:24:28.624111+00:00,,,,,,,,phase1,completed,,,,,,,CPU,0.0,,0.0,0.0,0.0,0.0,0.0,,summary cross-check complete,,,,a0dd986,active_solvai/.venv/bin/python active_solvai/scripts/summarize_phase1.py
AS-P2-CALIBRATION-acetone-L00-A01,,2026-09-03T02:46:19.061141+00:00,,,b76aef9b60ae497d8b4d39264280a9807fc72a98f3cbc2ad7a10e140280e6ec2,CSCPPACGZOOCGX-UHFFFAOYSA-N,,,,phase2_dense_calibration,completed,,0.0,2.0,,,,,39.12406425504014,,0.010867795626400039,0.08694236501120031,5.0,,2.0,,"{'energy_sha256': '01c3a1063fd472166d30232b5ddfe71982ed065918f78271a1970f97856c78e8', 'finite_response': True, 'frames': 51, 'mean_density_g_cm3': 1.021371509379216, 'mean_temperature_kelvin': 299.8937806592157, 'passed': True, 'success_marker': True, 'system_energy_file': '/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/acetone/lambda_0p00/output/Task5_MD_Transition_LIGAnnihilation_0__SYSTEM.ene'}",,,,512aad3d46c25c28d590e76ebbd6cd2dc9be7186,"['/home/galoren/Freecurve_AI_Solvation/repositories/arbalest/build_solvation_gcc10/ARBALEST/ARBALEST', '--gpu', 'true', '--gpudeviceid', '0', '--omp', '8', '--outTS', '0', '--log', 'Arbalest_attempt_01.log', '-C', 'conf.xml']"
AS-P2-CALIBRATION-acetone-L01-A01,,2026-09-03T02:47:07.286199+00:00,,,b579d3e383e2d69a54ddd288ee9b8f8de24ff9811bb5038d21957f45951a1223,CSCPPACGZOOCGX-UHFFFAOYSA-N,,,,phase2_dense_calibration,completed,,0.05,2.0,,,,,48.202547586057335,,0.013389596551682594,0.10711677241346075,5.0,,2.0,,"{'energy_sha256': 'd0d9ab7a47ffb73429159d8fb3451956279e5aa53324b0ef46c4561ac58bbc5c', 'finite_response': True, 'frames': 51, 'mean_density_g_cm3': 1.0242744978103921, 'mean_temperature_kelvin': 301.5922919798039, 'passed': True, 'success_marker': True, 'system_energy_file': '/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/acetone/lambda_0p05/output/Task5_MD_Transition_LIGAnnihilation_1__SYSTEM.ene'}",,,,512aad3d46c25c28d590e76ebbd6cd2dc9be7186,"['/home/galoren/Freecurve_AI_Solvation/repositories/arbalest/build_solvation_gcc10/ARBALEST/ARBALEST', '--gpu', 'true', '--gpudeviceid', '0', '--omp', '8', '--outTS', '0', '--log', 'Arbalest_attempt_01.log', '-C', 'conf.xml']"
AS-P2-CALIBRATION-acetone-L03-A01,,2026-09-03T02:47:49.230582+00:00,,,76234b2fddc4afb3cea1acb9150fce14c7e7a9b997e687329340f99f210e73b3,CSCPPACGZOOCGX-UHFFFAOYSA-N,,,,phase2_dense_calibration,completed,,0.2,2.0,,,,,41.93042033095844,,0.011647338980821789,0.09317871184657431,5.0,,2.0,,"{'energy_sha256': '1ae04a734f48c16e397a46c4f04573f3a55e45039c1380d1775d844aff5c8def', 'finite_response': True, 'frames': 51, 'mean_density_g_cm3': 1.0257352674209805, 'mean_temperature_kelvin': 302.64890441215687, 'passed': True, 'success_marker': True, 'system_energy_file': '/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/acetone/lambda_0p20/output/Task5_MD_Transition_LIGAnnihilation_3__SYSTEM.ene'}",,,,512aad3d46c25c28d590e76ebbd6cd2dc9be7186,"['/home/galoren/Freecurve_AI_Solvation/repositories/arbalest/build_solvation_gcc10/ARBALEST/ARBALEST', '--gpu', 'true', '--gpudeviceid', '0', '--omp', '8', '--outTS', '0', '--log', 'Arbalest_attempt_01.log', '-C', 'conf.xml']"
AS-P2-CALIBRATION-acetone-L04-A01,,2026-09-03T02:48:34.802307+00:00,,,612a8113f5762a319663b9f06c73b5c40bd06973d0242a6b5b9fae7855ed1f34,CSCPPACGZOOCGX-UHFFFAOYSA-N,,,,phase2_dense_calibration,completed,,0.3,2.0,,,,,45.54894114192575,,0.01265248365053493,0.10121986920427944,5.0,,2.0,,"{'energy_sha256': 'c14fdf2b9cc0975f0986bb8c565c94d7ca81d5020044515fcf6870095840ccc2', 'finite_response': True, 'frames': 51, 'mean_density_g_cm3': 1.023984293962353, 'mean_temperature_kelvin': 298.19440720333336, 'passed': True, 'success_marker': True, 'system_energy_file': '/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/acetone/lambda_0p30/output/Task5_MD_Transition_LIGAnnihilation_4__SYSTEM.ene'}",,,,512aad3d46c25c28d590e76ebbd6cd2dc9be7186,"['/home/galoren/Freecurve_AI_Solvation/repositories/arbalest/build_solvation_gcc10/ARBALEST/ARBALEST', '--gpu', 'true', '--gpudeviceid', '0', '--omp', '8', '--outTS', '0', '--log', 'Arbalest_attempt_01.log', '-C', 'conf.xml']"
AS-P2-CALIBRATION-acetone-L05-A01,,2026-09-03T02:49:16.822426+00:00,,,ced4d3a81655ecf18d0893b6c5e06400ce64c9dfeedeb91df748d7007c214414,CSCPPACGZOOCGX-UHFFFAOYSA-N,,,,phase2_dense_calibration,completed,,0.4,2.0,,,,,41.99195013195276,,0.011664430592209101,0.09331544473767281,5.0,,2.0,,"{'energy_sha256': '786e72428c8962ea141aba8260aba9db046e81513da02a92f63bb27800e1b4e8', 'finite_response': True, 'frames': 51, 'mean_density_g_cm3': 1.0297514628558824, 'mean_temperature_kelvin': 299.87838549254906, 'passed': True, 'success_marker': True, 'system_energy_file': '/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/acetone/lambda_0p40/output/Task5_MD_Transition_LIGAnnihilation_5__SYSTEM.ene'}",,,,512aad3d46c25c28d590e76ebbd6cd2dc9be7186,"['/home/galoren/Freecurve_AI_Solvation/repositories/arbalest/build_solvation_gcc10/ARBALEST/ARBALEST', '--gpu', 'true', '--gpudeviceid', '0', '--omp', '8', '--outTS', '0', '--log', 'Arbalest_attempt_01.log', '-C', 'conf.xml']"
AS-P2-CALIBRATION-acetone-L07-A01,,2026-09-03T02:50:08.704923+00:00,,,51b6e328404bc3d736838f01e858fcf7cf8f78bbbc8cefbe35016c449ed268bb,CSCPPACGZOOCGX-UHFFFAOYSA-N,,,,phase2_dense_calibration,completed,,0.6,2.0,,,,,51.85879304516129,,0.014405220290322582,0.11524176232258065,5.0,,2.0,,"{'energy_sha256': '76a6bac55655e67993c8c5be625862bba0ee36b871da0c2ac47fdc2692549b53', 'finite_response': True, 'frames': 51, 'mean_density_g_cm3': 1.0124939338831374, 'mean_temperature_kelvin': 301.0248652743137, 'passed': True, 'success_marker': True, 'system_energy_file': '/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/acetone/lambda_0p60/output/Task5_MD_Transition_LIGAnnihilation_7__SYSTEM.ene'}",,,,f548a34e0cd37cbd1275a966ccf8e6ef0cf2c25d,"['/home/galoren/Freecurve_AI_Solvation/repositories/arbalest/build_solvation_gcc10/ARBALEST/ARBALEST', '--gpu', 'true', '--gpudeviceid', '0', '--omp', '8', '--outTS', '0', '--log', 'Arbalest_attempt_01.log', '-C', 'conf.xml']"
AS-P2-CALIBRATION-acetone-L08-A01,,2026-09-03T02:51:00.282381+00:00,,,2abe2a3cff22a709c83ededcb29e510dd0a7d949a2fe232a5768c267dcf13bb9,CSCPPACGZOOCGX-UHFFFAOYSA-N,,,,phase2_dense_calibration,completed,,0.7,2.0,,,,,51.558473312994465,,0.014321798142498463,0.1145743851399877,5.0,,2.0,,"{'energy_sha256': '683e9007eed31bee1ea18702bb9127cd0f37aedee048e36adc25242f5f7b2d65', 'finite_response': True, 'frames': 51, 'mean_density_g_cm3': 1.0214602701141176, 'mean_temperature_kelvin': 301.1179548129412, 'passed': True, 'success_marker': True, 'system_energy_file': '/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/acetone/lambda_0p70/output/Task5_MD_Transition_LIGAnnihilation_8__SYSTEM.ene'}",,,,f548a34e0cd37cbd1275a966ccf8e6ef0cf2c25d,"['/home/galoren/Freecurve_AI_Solvation/repositories/arbalest/build_solvation_gcc10/ARBALEST/ARBALEST', '--gpu', 'true', '--gpudeviceid', '0', '--omp', '8', '--outTS', '0', '--log', 'Arbalest_attempt_01.log', '-C', 'conf.xml']"
AS-P2-CALIBRATION-acetone-L09-A01,,2026-09-03T02:51:54.281458+00:00,,,e534cb4257b963bfd162d4d0a5162dbfe2c872beaebaa0dba48e68323d9781fb,CSCPPACGZOOCGX-UHFFFAOYSA-N,,,,phase2_dense_calibration,completed,,0.75,2.0,,,,,53.97328986506909,,0.014992580518074748,0.11994064414459799,5.0,,2.0,,"{'energy_sha256': '36ab5a6b7d75bd9ae9ad073f66e28fdb08cf000f5e961dab91891226a8ae3ad7', 'finite_response': True, 'frames': 51, 'mean_density_g_cm3': 1.0270953899211765, 'mean_temperature_kelvin': 300.8352838833333, 'passed': True, 'success_marker': True, 'system_energy_file': '/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/acetone/lambda_0p75/output/Task5_MD_Transition_LIGAnnihilation_9__SYSTEM.ene'}",,,,f548a34e0cd37cbd1275a966ccf8e6ef0cf2c25d,"['/home/galoren/Freecurve_AI_Solvation/repositories/arbalest/build_solvation_gcc10/ARBALEST/ARBALEST', '--gpu', 'true', '--gpudeviceid', '0', '--omp', '8', '--outTS', '0', '--log', 'Arbalest_attempt_01.log', '-C', 'conf.xml']"
AS-P2-CALIBRATION-acetone-L10-A01,,2026-09-03T02:52:40.209636+00:00,,,a81171a2a0d358272c4810d0c504b3f4ea01cc0171e874d7f66d4550059c91e5,CSCPPACGZOOCGX-UHFFFAOYSA-N,,,,phase2_dense_calibration,completed,,0.8,2.0,,,,,45.899244328960776,,0.012749790091377994,0.10199832073102395,5.0,,2.0,,"{'energy_sha256': '29017d55a178e09f466bc329556a54d41e7df897e017a2a819353bed019e2edb', 'finite_response': True, 'frames': 51, 'mean_density_g_cm3': 1.027232102702549, 'mean_temperature_kelvin': 302.6608534645098, 'passed': True, 'success_marker': True, 'system_energy_file': '/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/acetone/lambda_0p80/output/Task5_MD_Transition_LIGAnnihilation_10__SYSTEM.ene'}",,,,f548a34e0cd37cbd1275a966ccf8e6ef0cf2c25d,"['/home/galoren/Freecurve_AI_Solvation/repositories/arbalest/build_solvation_gcc10/ARBALEST/ARBALEST', '--gpu', 'true', '--gpudeviceid', '0', '--omp', '8', '--outTS', '0', '--log', 'Arbalest_attempt_01.log', '-C', 'conf.xml']"
AS-P2-CALIBRATION-acetone-L11-A01,,2026-09-03T02:53:26.795905+00:00,,,838a51b40c2975f422f43294578057f7b9873f5eec22393672656baed2faf4b5,CSCPPACGZOOCGX-UHFFFAOYSA-N,,,,phase2_dense_calibration,completed,,0.85,2.0,,,,,46.55635241698474,,0.012932320115829093,0.10345856092663275,5.0,,2.0,,"{'energy_sha256': 'f55002e192cc47799e6c1b1a6a89bc7f673da646105f40fcadc2ed934871cc6d', 'finite_response': True, 'frames': 51, 'mean_density_g_cm3': 1.0227090091968627, 'mean_temperature_kelvin': 300.7071091205882, 'passed': True, 'success_marker': True, 'system_energy_file': '/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/acetone/lambda_0p85/output/Task5_MD_Transition_LIGAnnihilation_11__SYSTEM.ene'}",,,,f548a34e0cd37cbd1275a966ccf8e6ef0cf2c25d,"['/home/galoren/Freecurve_AI_Solvation/repositories/arbalest/build_solvation_gcc10/ARBALEST/ARBALEST', '--gpu', 'true', '--gpudeviceid', '0', '--omp', '8', '--outTS', '0', '--log', 'Arbalest_attempt_01.log', '-C', 'conf.xml']"
AS-P2-CALIBRATION-acetone-L13-A01,,2026-09-03T02:54:18.349239+00:00,,,89d12e9284e1fcae16f08c90024066006508d76101c0404f136a681cd142d981,CSCPPACGZOOCGX-UHFFFAOYSA-N,,,,phase2_dense_calibration,completed,,0.95,2.0,,,,,51.53288764599711,,0.014314691012776975,0.1145175281022158,5.0,,2.0,,"{'energy_sha256': '9b0cc7637b133f64a37e26ac3cad9c268ce055ae1346035386e005b2a9defef0', 'finite_response': True, 'frames': 51, 'mean_density_g_cm3': 1.0220788841931372, 'mean_temperature_kelvin': 302.66547164352943, 'passed': True, 'success_marker': True, 'system_energy_file': '/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/acetone/lambda_0p95/output/Task5_MD_Transition_LIGAnnihilation_13__SYSTEM.ene'}",,,,f548a34e0cd37cbd1275a966ccf8e6ef0cf2c25d,"['/home/galoren/Freecurve_AI_Solvation/repositories/arbalest/build_solvation_gcc10/ARBALEST/ARBALEST', '--gpu', 'true', '--gpudeviceid', '0', '--omp', '8', '--outTS', '0', '--log', 'Arbalest_attempt_01.log', '-C', 'conf.xml']"
AS-P2-CALIBRATION-acetone-L14-A01,,2026-09-03T02:55:09.823409+00:00,,,86cacc2b6131e3ea711e80590f11f3f173c55c6067816bca07f5bf645db1d565,CSCPPACGZOOCGX-UHFFFAOYSA-N,,,,phase2_dense_calibration,completed,,1.0,2.0,,,,,51.46163146710023,,0.014294897629750065,0.11435918103800052,5.0,,2.0,,"{'energy_sha256': '4f992e3a614dad1968e6c1bbb07b6363b669f3eb19cb96964f12eca229e7e61f', 'finite_response': True, 'frames': 51, 'mean_density_g_cm3': 1.0224076617721571, 'mean_temperature_kelvin': 301.09690087843137, 'passed': True, 'success_marker': True, 'system_energy_file': '/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/acetone/lambda_1p00/output/Task5_MD_Transition_LIGAnnihilation_14__SYSTEM.ene'}",,,,f548a34e0cd37cbd1275a966ccf8e6ef0cf2c25d,"['/home/galoren/Freecurve_AI_Solvation/repositories/arbalest/build_solvation_gcc10/ARBALEST/ARBALEST', '--gpu', 'true', '--gpudeviceid', '0', '--omp', '8', '--outTS', '0', '--log', 'Arbalest_attempt_01.log', '-C', 'conf.xml']"
AS-P2-CALIBRATION-ethanol-L00-A01,,2026-09-03T02:55:54.555942+00:00,,,c9c56e191afcb9920f06ae03250cf9270529180f0bc414c72c16d931cd40ee45,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,,,,phase2_dense_calibration,completed,,0.0,2.0,,,,,44.70997762004845,,0.012419438227791235,0.09935550582232988,5.0,,2.0,,"{'energy_sha256': '81fd1b1c9db0b46747a9083a94189747a70f95f64c14a7d65e9234ed5c2a0f7f', 'finite_response': True, 'frames': 51, 'mean_density_g_cm3': 1.0221125629096077, 'mean_temperature_kelvin': 301.0308022729411, 'passed': True, 'success_marker': True, 'system_energy_file': '/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/ethanol/lambda_0p00/output/Task5_MD_Transition_LIGAnnihilation_0__SYSTEM.ene'}",,,,f548a34e0cd37cbd1275a966ccf8e6ef0cf2c25d,"['/home/galoren/Freecurve_AI_Solvation/repositories/arbalest/build_solvation_gcc10/ARBALEST/ARBALEST', '--gpu', 'true', '--gpudeviceid', '0', '--omp', '8', '--outTS', '0', '--log', 'Arbalest_attempt_01.log', '-C', 'conf.xml']"
AS-P2-CALIBRATION-ethanol-L01-A01,,2026-09-03T02:56:46.894466+00:00,,,4ff267eca09a613a9e945742628a6dc0046c1d6d8077cb283b73a0a3121b23e0,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,,,,phase2_dense_calibration,completed,,0.05,2.0,,,,,52.308213075157255,,0.014530059187543682,0.11624047350034945,5.0,,2.0,,"{'energy_sha256': 'a25e267181be3dca546ed551e407e35f7b8a40349a35ed7b0ac328708c2cc518', 'finite_response': True, 'frames': 51, 'mean_density_g_cm3': 1.0228196509745098, 'mean_temperature_kelvin': 300.18898596960787, 'passed': True, 'success_marker': True, 'system_energy_file': '/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/ethanol/lambda_0p05/output/Task5_MD_Transition_LIGAnnihilation_1__SYSTEM.ene'}",,,,f548a34e0cd37cbd1275a966ccf8e6ef0cf2c25d,"['/home/galoren/Freecurve_AI_Solvation/repositories/arbalest/build_solvation_gcc10/ARBALEST/ARBALEST', '--gpu', 'true', '--gpudeviceid', '0', '--omp', '8', '--outTS', '0', '--log', 'Arbalest_attempt_01.log', '-C', 'conf.xml']"
AS-P2-CALIBRATION-ethanol-L03-A01,,2026-09-03T02:57:39.503449+00:00,,,8ced74993ab490b3ceb21c784e07beac5b04152ff9035302b7140a0a021c5491,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,,,,phase2_dense_calibration,completed,,0.2,2.0,,,,,52.57984836003743,,0.014605513433343731,0.11684410746674985,5.0,,2.0,,"{'energy_sha256': '4521ed9b445756557cadf7bfc6dd2c85ce93a760b8b82507c0a16ef9d8ad9faf', 'finite_response': True, 'frames': 51, 'mean_density_g_cm3': 1.0226510204213726, 'mean_temperature_kelvin': 301.66635015862744, 'passed': True, 'success_marker': True, 'system_energy_file': '/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/ethanol/lambda_0p20/output/Task5_MD_Transition_LIGAnnihilation_3__SYSTEM.ene'}",,,,f548a34e0cd37cbd1275a966ccf8e6ef0cf2c25d,"['/home/galoren/Freecurve_AI_Solvation/repositories/arbalest/build_solvation_gcc10/ARBALEST/ARBALEST', '--gpu', 'true', '--gpudeviceid', '0', '--omp', '8', '--outTS', '0', '--log', 'Arbalest_attempt_01.log', '-C', 'conf.xml']"
AS-P2-CALIBRATION-ethanol-L04-A01,,2026-09-03T02:58:24.703808+00:00,,,194c1cb0ac1f00563993202c5d497f79d5a1d7bfe5db0a4006845330d22b337c,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,,,,phase2_dense_calibration,completed,,0.3,2.0,,,,,45.1867797030136,,0.012551883250837111,0.10041506600669689,5.0,,2.0,,"{'energy_sha256': '18f31d2f516f77ccf113161794bb08d6a29a3d5aeda6731b1144034a65715f8c', 'finite_response': True, 'frames': 51, 'mean_density_g_cm3': 1.021455084569804, 'mean_temperature_kelvin': 302.2145768166667, 'passed': True, 'success_marker': True, 'system_energy_file': '/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/ethanol/lambda_0p30/output/Task5_MD_Transition_LIGAnnihilation_4__SYSTEM.ene'}",,,,f548a34e0cd37cbd1275a966ccf8e6ef0cf2c25d,"['/home/galoren/Freecurve_AI_Solvation/repositories/arbalest/build_solvation_gcc10/ARBALEST/ARBALEST', '--gpu', 'true', '--gpudeviceid', '0', '--omp', '8', '--outTS', '0', '--log', 'Arbalest_attempt_01.log', '-C', 'conf.xml']"
AS-P2-CALIBRATION-ethanol-L05-A01,,2026-09-03T02:59:07.649770+00:00,,,c5ff06b12882c09f1c3c9bc45ec83db2521bd4623f3f9c7d2775d806e6411ce3,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,,,,phase2_dense_calibration,completed,,0.4,2.0,,,,,42.93138968013227,,0.011925386022258963,0.09540308817807171,5.0,,2.0,,"{'energy_sha256': '6ab61265c9fc04365e22b6863ad41840abd89b3c715a9b507f555ccf86c9d00c', 'finite_response': True, 'frames': 51, 'mean_density_g_cm3': 1.0191099746686274, 'mean_temperature_kelvin': 300.96094951686274, 'passed': True, 'success_marker': True, 'system_energy_file': '/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/ethanol/lambda_0p40/output/Task5_MD_Transition_LIGAnnihilation_5__SYSTEM.ene'}",,,,f548a34e0cd37cbd1275a966ccf8e6ef0cf2c25d,"['/home/galoren/Freecurve_AI_Solvation/repositories/arbalest/build_solvation_gcc10/ARBALEST/ARBALEST', '--gpu', 'true', '--gpudeviceid', '0', '--omp', '8', '--outTS', '0', '--log', 'Arbalest_attempt_01.log', '-C', 'conf.xml']"
AS-P2-CALIBRATION-ethanol-L07-A01,,2026-09-03T02:59:54.017047+00:00,,,9c22fb8c6e9445bf6c54fb9b9f57661c7c95dc09c0bcbd247c27f7bcd5c7d846,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,,,,phase2_dense_calibration,completed,,0.6,2.0,,,,,46.35455696191639,,0.012876265822754552,0.10301012658203641,5.0,,2.0,,"{'energy_sha256': '7c3f4c67ecf7ad9fafe57c78665c3f0f88cf2b69c9ed6e88f54f861df55eeb6d', 'finite_response': True, 'frames': 51, 'mean_density_g_cm3': 1.0259131331978433, 'mean_temperature_kelvin': 300.565445955098, 'passed': True, 'success_marker': True, 'system_energy_file': '/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/ethanol/lambda_0p60/output/Task5_MD_Transition_LIGAnnihilation_7__SYSTEM.ene'}",,,,f548a34e0cd37cbd1275a966ccf8e6ef0cf2c25d,"['/home/galoren/Freecurve_AI_Solvation/repositories/arbalest/build_solvation_gcc10/ARBALEST/ARBALEST', '--gpu', 'true', '--gpudeviceid', '0', '--omp', '8', '--outTS', '0', '--log', 'Arbalest_attempt_01.log', '-C', 'conf.xml']"
AS-P2-CALIBRATION-ethanol-L08-A01,,2026-09-03T03:00:36.770682+00:00,,,e980488a60a44d66b24ed54ed1588abbc1be7c6a37940e166fbc80fe04c045e6,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,,,,phase2_dense_calibration,completed,,0.7,2.0,,,,,42.731528589036316,,0.011869869052510088,0.0949589524200807,5.0,,2.0,,"{'energy_sha256': 'f1646fcb811ff44423993d715557221550b0be3dc301cf5f7824e080bd1910eb', 'finite_response': True, 'frames': 51, 'mean_density_g_cm3': 1.0197733704613725, 'mean_temperature_kelvin': 300.5273867268628, 'passed': True, 'success_marker': True, 'system_energy_file': '/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/ethanol/lambda_0p70/output/Task5_MD_Transition_LIGAnnihilation_8__SYSTEM.ene'}",,,,f548a34e0cd37cbd1275a966ccf8e6ef0cf2c25d,"['/home/galoren/Freecurve_AI_Solvation/repositories/arbalest/build_solvation_gcc10/ARBALEST/ARBALEST', '--gpu', 'true', '--gpudeviceid', '0', '--omp', '8', '--outTS', '0', '--log', 'Arbalest_attempt_01.log', '-C', 'conf.xml']"
AS-P2-CALIBRATION-ethanol-L09-A01,,2026-09-03T03:01:31.351937+00:00,,,28f293fd2733cbdde31ac32a16528b0e89f4f257f6e3dc1f938ca42c3de85050,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,,,,phase2_dense_calibration,completed,,0.75,2.0,,,,,54.561932913027704,,0.01515609247584103,0.12124873980672823,5.0,,2.0,,"{'energy_sha256': '7fcc6932b31c659c54774b45a0b1a44c6fa396c865bcd2fdc802d06728534baf', 'finite_response': True, 'frames': 51, 'mean_density_g_cm3': 1.0161554763503922, 'mean_temperature_kelvin': 300.55149220588237, 'passed': True, 'success_marker': True, 'system_energy_file': '/home/galoren/Freecurve_AI_Solvation/release/SolvAI/active_solvai/simulations/dense_pimd2/calibration/ethanol/lambda_0p75/output/Task5_MD_Transition_LIGAnnihilation_9__SYSTEM.ene'}",,,,c981630d5f7a4aba7df35948f636a590b1870acf,"['/home/galoren/Freecurve_AI_Solvation/repositories/arbalest/build_solvation_gcc10/ARBALEST/ARBALEST', '--gpu', 'true', '--gpudeviceid', '0', '--omp', '8', '--outTS', '0', '--log', 'Arbalest_attempt_01.log', '-C', 'conf.xml']"
